id;rating;benefits;side_effects
1749;7;I have complex partial seizures that secondarily generalize. I was having up to 5 a week of the generalized ones in my sleep and getting injuries from them when I started topamax. The topamax stopped the generalization. I continued to have complex partials, but those are nothing in comparison to a tonic clonic seizure. I have only had one tonic clonic since being at the max dose of topamax.;topa-tingles (tingly fingers and toes) and tingles around my lips. This went away once my dose got to 400. Seeing light tracers. word loss. memory loss. hair loss. dry itchy skin. massive weight loss into the scary skinny territory. dangerously low potassium. I was able to reduce most of my side effects by taking potassium supplements and adding ensure drinks to my diet.
3265;4;Less pain with same symptoms;Unclear thinking
1857;3;The medication worked great and cleared up symptoms immediately (sore throat, coughing, et cetera).;Horrible, wretched diarrhea. I lost six pounds in five days. I could barely eat because I couldn't keep anything down. I had to survive on white bread slices, crackers and water. Anything else caused diarrhea. It was so bad that I called my doctor and asked her to prescribe me something else. She told me that the two days remaining on my perscription were just extra insurance to make sure my infection was gone before surgery. She basically said she would normally only prescribe five days so with that I discontinued use. Feel better now but still have diarrhea. Been off for 1 day.
1120;8;Very effective initially. A lot more energy, able to focus, and more vibrant. I think its no longer working after 7 years and think I am tolerant of it and not receiving the same benefits as the initial years.;When weening off I had 'shock like' sensations.weight loss was an initial side effect as well as diarrhea. Became ill if I drank alcohol at all.
1501;1;no benefits, only negatives.;This product made my rosacea go from mild to severe in a matter of 2 days. Has now been 6 days, with no improvements of the damage done by this junk. Horrible, horrible product. The best way to ease you rosacea is go on a diet of lemon water and plain, boiled chicken for a week. Take about 2 gm of pantothenic acid a day. It sucks, but it will clear it up.
3216;1;None - did not work;No Side effects
530;8;Sleeping through the night;Grogginess in the morning
2817;9;After taking Wellbutrin for approximately 2 months I noticed a considerable decrease in anxiety and morbid intrusive thoughts, which improved my depression feeling considerably. I also noticed that I had an easier time quitting smoking. I could be around smokers and not feel an urge to smoke, which had never happened in previous attempts to quit and using a nicotine patch.;"During the first month I had insomnia. I slept about 3 hrs per night; however, I didn't feel fatigued by it. I also lost about 20 lbs in the first 6 months."
2975;5;"Slowed down hyperactivity in a nine year old boy; increased attending a little bit although not strongly. It does not interfere with sleep which many of the stimpulant meds do. There were no mood swings until the dosage was increased.";When the dose was raised, the patient suffered suicidal ideation! This was bad. At lower dose it seemed to be ok. Dosage takes 2-3 weeks to take affect. Side effects also will not be observed until dose builds up in the system. You may see lesser instances of self denegration first. Watch for that.
2216;10;lowered blood presssure with no notable side effects.The reduction in blood pressure was immediate with no other bothersome side effects;none -- i was warned that many blood pressure medications have bothersome side-effects including lowered libido, sleep disturbances etc. i suffered no change in any physiological symptoms other than the lowering of my blood pressure
4048;10;I took these medications while having severe symptoms of h-pylori which had been going on already for about 10 days(severe stomach pain). After about 3 days on the medication my syptoms were much improved and soon disappeared. Before taking this medication I would have bouts of this pain every few months during stressful times and it would take weeks to go away. Since taking this medication during that three week period two years ago I have had no more syptoms of h-pylori despite several stressful time periods.;I don't remember any. (except sensitivity to sun with flagyl)
148;10;Fast results vs. traditional antibiotics such as amoxicillin.;none
