id;text;rating;polarity;n_words;score
1749;Topamax 200mg in the morning and 300mg in the evening. I started at a low dose and worked up to the effective dose that stopped my tonic clonic seizures (generalized seizures). It took additional medications to reduce my complex partial seizures, which I continue to have on occasion.;7;;48;3
2717;"I took 25 to 50 mgs at bedtime for about 18 months. I took myself off of it because I was tired of the ""hangover"" effect. Since that time, the headaches are much less of a problem.";7;;37;3
3450;The treatment was to take 1 tablet orally 2 times a day for 5 days.;5;;15;3
1776;I am writing this having just been back to the GP's as I did not think it was working as well as it could do according to other reports. He raised me up to 40mg from an initial dose of 20mg. As you can see I have listed a lot of side effects, although to be honest these were not a problem and mostly gone by 10days of treatment. That is until I got raised to 40mg and now they are back with a vengeance. However, if it helps with the depression it will be worth it. I have my tablet with food as otherwise I get a dodgy stomach, but for some people they may need to take it without food for the same reason. Again, if it makes you tired, take on an evening, if it keeps you awake then take on the morning.;6;;146;3
532;I was to take this medication once a day. At one time the dosage was increased to 50mg but with the decrease in my libido and too much grogginess in the morning my dosage was reduced to 25mg. This seemed to do well in helping me to sleep better.;5;;49;3
2137;i started using 1 pill in the morning for a week, and then when i increase to 2 pills i had a bad allergic reaction to it , so i had to stop, but it did work for the time i was using it;4;;44;3
2902;I was taking 4mg tablets three times per day. one in morning, one in afternoon, one in the evening.;7;;19;3
3776;This may be covered in the treatment benefits section, The prescribed dosage was 500 mg (along with ciprofloxacin 500 mg) both twice daily for two weeks: however, by the sixth day the side effects were severe enough that the doctor told me to discontinue taking both the metronidazole and the ciprofloxacin.;6;;51;3
2037;I have had the endoscope one time and on two different occasions had the tube inserted into my nose to check the vocal chords to diagnose why I lose my voice. My regular every day treatment dose is one 40 mg pill, but have been told at two different times by two different doctors to double up on that for two months. I notice improvement but once regular dosage is resumed the symptoms usually flare up.;6;;76;3
3319;As mentioned above I was prescibed Dilantin to avoid seizures following brain surgery. I was given dilantin injections for a period of 3 weeks while in hospital and then it changed to taking oral dilantin (100mg 3 times daily)for a year. During the year I had one seizure after 6 months which happened on the night that I felt well enough to have some drinks with my friends for the first time since the operation. I didn't drink again for the following 6 months while on dilantin and did not have any more seizures. I stopped dilantin after 12 months and have had no seizures since;6;;106;3
667;"The doctor would prescribe Erythromycin for me every time I developed a sinus infection. (This had been going on since childhood). I would take a regimen of 4 tablets daily for a total of 7 days. I was also given Sudafed to help with the allergies I suffered from. Occassionally I was also given a saline solution to flush out my sinuses. The last time I was given this regimen however, I had an allergic reaction and began itching. I broke out in a rash within 45min. of taking the first dose. The doctor told us to ""keep an eye on it and if I had difficulty breathing or any other symptoms I was to rush to the ER."" Other wise he felt the symptoms to be within normal limits. I continued the regimen and was able to get rid of the infection but was given a different antibiotic the next time I got an infection.";6;;156;3
295;I've been taking 5 mg per day for a month and I felt it was losing effectiveness so incresed to 10 mg and been taking 3 month so far. I still have some what of problem before period and have more frequent urge to goto restroom than other people but I am able to hole and wait. It is much more controlable than I wasn't taking anything.;7;;67;3
3711;I take 200 mg lamictal once per day at night so that I am not affected by the drowsiness. Initially I started at 25mg and it was increased over time until I reached 200 mg in order to avoid side effects. It took time to experience the benefits. About 6 weeks.;7;;51;3
1088;My doctor prescribed due to depression and anxiety. As mentioned above, I felt so much better on the higher dose (75mg?)... but was unable to sleep at night for several weeks on this dose. Therefore, I began again at the lower (37.5mg) dose (after trying a few other antidrepressants). Overall, I am currently unhappy with the effects of the lower dose.;4;;61;3
3400;I've been taking finasteride generic (1-2 mg daily) for several years now, after taking Propecia for a number of years. It's definitely cheaper, and seems to work just as effectively.;7;;30;3
2683;1 pill every 12 hours,with 300mg labetalol every 12 hours and amlodipine 10 mg 1 per day. i have fatigue and muscle weekness the jury is still out,on why,it is now suggested i have a non alcoholic fatty liver,from a gallblader echo. I am very leary of taking any meds.for extra work for my liver.;4;;55;3
2933;Generally 20mg for 3 days then dropping 5mg per day every 3 days. Once at 5mg the dose is halved every three days. It should never be stopped suddenly.;6;;29;3
577;I started at 150mg and slowly went up by 150mg every time the side effects calmed down. Usually when I stopped tasting the metallic taste in my mouth I would increase the dose. I've been on toprimate 400mg for one year. Therapy with my psychiatrist twice per week (sometimes once per week due to scheduling conflicts).;7;;56;3
2701;I have been on Detrol LA for since being diagnosed with Multiple Sclerosis two years ago. I have a spastic bladder and urinate every two hours. I take 2mg twice a day. The medicine worked for about six months, then was virtually ineffective.;4;;43;3
3975;started out the first week with breaking 5mg in half. then after that been taking 5mg daily. B/P was never above 130 systolic and never above 90 diastolic. but was prescibed this because of the intermittent chest pain.;7;;38;3
3943;Take 20mg first thing in the morning about half an hour before breakfast, or before I have a meal I know will cause problems - Italian food, garlic, spicy, etc.;7;;30;3
3361;I am taking one 10 mg pill once a day for the past three years not only to lower my cholesterol level but also as a preventative medicine.;7;;28;3
3703;I was put on a 37.5 mg dose once daily for about a month before it was increased to 75 mg. While I was using this prescription, I had regular meetings with the psychiatrist who prescribed it to track my progress and I attended therapy sessions once a week.;7;;49;3
555;1 tablet once a day before food. I usually took it first thing in the morning. I also avoided any calcium supplements and dairy products for two hours afterwards.;7;;29;3
2750;I took a 120mg pill after any meal with fat (2-3 times daily). It seemed like over time, since my body was aborbing less calories i started to crave less. The only problem was that without modifying my diet, the weight came back after i quit taking the drug. It is also expensive, and although it does work I am not sure it is worth the high price.;7;;68;3
1099;I was prescribed to take one 20 mg dose two times a day. This seemed like to much at times, and so I would cut it in half.;5;;28;3
3337;Sinusitis diagnosed after 1 week of pressure headache and pussy nosebleeds. 1000mg per day for 7 days prescribed. Aggrivated IBS and caused severe nausea and bitterness in the mouth that disturbed sleep pattern. Also feeling of anxiety noted.;7;;38;3
361;"Pt was initially prescribed neurontin 300mg; one pill in the morning and one pill in the afternoom then two pills at bedtime. Patient then began to complain of increased pain in upper arms and shoulders after about two years total on the recently described dosages. The doctor then increased the dose, starting with 300mg, two pills in the morning, then one pill of same at noon and the two pills, 300mg each at bedtime for four days. After that it will be neurontin 300mg, two pills in the morning, then two pills at noon and two pills at bedtime. This regeme just began yesterday, so results of such are not yet observable.";7;;112;3
1474;I took 20 mg. 1x per day (in the morning) for the first week, gradually working up to 60mg. 1x per day. After 2 months, I am tapering down again. 60mg made me too drowsy.;5;;35;3
338;I take 600mg of Gabapentin three times day. It seems to be effective but I feel I need a hire dosage as the longer I take it the more I experience relapses.I first started out with 300mg three times a day but it was ineffective.;6;;45;3
349;Treatment Details: Take 1 Gaberpentin capsule (300MG) by mouth three times a day. Morning about breakfast time, Noon before lunch and night after dinner. 1 Unithroid Tab. (1000 MCG) before breakfast. Metformin (850MG) 2 times a day. Morning and night. FLOMAX (0.4 MG) at night after dinner. Aricept (10MG) tab at night after dinner.;4;;54;3
4065;i take 1x 7.5 tablet every other day plus omega 3/6/9 and halibut liver oil caps and walk as much as possible. I only resort to 1 tablet daily if knee is really bad. 15mg daily and i am pain free but i am not prepared to risk the side effects on an otherwise healthy body;6;;56;3
1276;Was prescribed 100 mg and could go up to 200 mg as needed. On a regular day 100 mg was sufficient. On long days or if I had activities schduled after work I would take another 100 mg tablet or I'd cut a tablet in half to take 50 mg rather than 100 . I made sure I didn't take anymore after about 6:00 pm or it would keep me awake at night.;7;;73;3
795;I take 1 pill everynight before bed as needed. Sometimes I could quit taking it when my sleep cycle was normal.;7;;21;3
1983;I have severe tension headaches on a every other day basis. Occasional swelling in the top of neck. if ibuprofen didnt do the job, fiorinal usually topped it off. but this medicine alone didnt do much for me. I was prescribed 1 to 2 pills every 6 hours when headaches occurs.;5;;51;3
2522;I had a bakterial prostatitis in the winter (likely from a combination of psychological and personal stress, bike riding in very cold conditions). But also before the bacterial prostatitis I had a very sensitiv Prostate and often sensual problems. The first 12 days after diagnosis I had to take Doxycyclin antibioticum (tetracycline) and 600mg Ibuprofen two times a day. After the inicial 12 days I had to continue with Ibuprofen for about 5 weeks.;7;;74;3
1786;20mg once daily for 5 months, weaning self off over 1 month decreasing dosage until 10mg every two days then stopped;4;;21;3
2025;Take the protonix one time daily with 1 tab naproxen. Also take another tab of naproxen 12 hours later.;7;;19;3
810;I have had insomnia for as long as I can remember, as it is a symptom of my illness. I usually go to bed around 7 AM if at all, and I don't mind it usually, except when I have responsibilities the next day and I am unable to fulfill obligations due to exhaustion. The first few times I tried Ambien, my doctor prescribed me Ambien CR which is extended-release.. I was taking the 12.5 milligrams. This medication gave me extremely bad headaches and didn't really affect my sleeping pattern. I went back and asked her to prescribe me another dosage, and she gave me the lower 10 mg dosage, not extended release. This dosage makes me feel very groggy at night, and a little drugged out. I have noticed dependency issues developing with it, even in my short time taking it.;7;;142;3
1203;I was suppose to take 20mg daily for treatment of depression, it helped my depression but i often felt manic and 'not myself';6;;23;3
2785;She takes 3 pills in the morning upon waking and 2 pills at night before going to bed. She was taking 1 Klonopin pill but is now taking Lamictal and is gradually increasing the dosage. Her neurologist is weaning her off of Keppra and gradually moving her to Lamictal.;5;;49;3
1436;Began at 75 MCG and they lowered my dose to 50 MCG and the fatigue/sleepy/brain fog symptoms got better (I did not fall asleep in public again) but I was still more tired and foggy than I was before I began taking the medication. I took the medication in textbook form--first thing in the morning and did not eat for 4 hours. Finally, the doctor gave me permission to stop taking because I was afraid the physical symptoms were going to negatively impact my job. Had my blood checked last week after one month off the medication and numbers showed I was back in hypothyroidism. Doctor is mystified at my symptoms, which for the most part seem to be the opposite of what they should have been on the medication. He prescribed me Armour today and I am scheduled to go back in 6 weeks to have my blood checked. I am a healthy, 36 year old female. I exercise regularly and attempt a healthy diet. We'll see if this works better for me.;4;;174;3
1795;I take it once a day at 20mg per pill. I do better on it now then I do without it. So I will keep my fingers crossd and hope the sleepness goes away.;7;;34;3
3879;L-Thyroxine was supposed to increase the low production of thyroid hormones, which was a result of hypothyroidism, as well as to help lower the number of antithyroid antibodies (which indicate the autoimmune disease that may be damaging the thyroid gland). Levothyroxine (25 mcg)was taken 30 60 minutes before breakfast daily, for almolst 2 years. The doctor told me, that i should take it as long as i live. However, the levels of thyroid hormones have changed dramatically when i stopped taking l-thyroxine, they were in absolutely normal range, which showed, that i do not need to be on l-thyroxine anymore.;4;;100;3
440;0.5mg taken 5 x per week in the morning. Started taking avodart but then moved onto generic ('Dutas') with no change in effectiveness.;7;;23;3
712;treatment began with two 40mg tablets twice a day, but was reduced to once a day after the first month due to extremely dry skin. When sexual side effects began in month 2, my dermatologist suggested using a personal lubricant during sex (which was never needed before treatment began) and that the problem would clear up once I was finished with the treatment. I began the treatment in Febuary 2007 and finished September 2007. The problem with dry skin cleared up rapidly, but I continue to struggle with the sexual side effects (as of June 2008). I have been treating the vaginal dryness with an over the counter product called Replens since January 2008 and this has helped considerably, but it causes constant vaginal discharge. I am now able to have sex about once ever 2-4 weeks, but have yet to experience a vaginal orgasm.;5;;145;3
1759;i started off taking 25mg in the evening for 2 weeks then 25mg in the morning and evening for 2weeks. this then got increased to 75mg and then 100mg;6;;29;3
1565;I was given Loritab to help stop the pain in my back and running down my left leg. I was to take it every 6 hours or as needed, which ended up using it round the clock the pain was so bad. The Doctors also gave me 600mg of Ibuprophin to take with the Loritab. It helped at fist but the end effects to my body I feel in some ways not worth taking the medication, but it it's defense it did help me get a handle on the pain so I could get off the drug;7;;97;3
1850;Augmentin was administered at a dosage of 500 mg to be taken two times a day. Total treatment time was to be 10 days, but within 24 hours, the side effects of the antibiotic were so intolerable that, after 3 days, the drug was terminated and a different antibiotic was administered.;4;;51;3
3488;Diazepam : 1/3 of 1 pill whenever i'm feeling stressed,mood swings, felt BY- POLAR Non moody after taking 1/3 of 1 pill, calm and relaxed. Never feeling sexual aroused anymore since taking the pills though. Not once since taking the pill. Not wanting partner to try anything sexual, I'm just turned off. Have no idea why but i definitely know it's those pills.;5;;63;3
1264;I took 1 tablet every morning. 100 mg. It was important to take it in the morning. If I took it at night, I would be up all night.;7;;29;3
1554;I take one 15mg dose of methotrexate once a week along with sulphasalazine and naproxen to reduce activity of my very active rheumatoid arthritis. The pain and inflammation is still there but has reduced slightly. I also take Bendroflumethazide to reduce high blood pressure taken on a daily basis. I have researched on the internet and found I need to increase my daily intake of water/fluids. This has never been mentioned in the contraindications or by my GP. I understand the reason for increasing fluid intake is because the medication I take is cytoxic and I need to keep my kidneys and liver flushed as much as possible, which is why patients who take methotrexate and sulphasalazine have monthly blood tests.;6;;121;3
2824;Prescribed at 300 mg per day, have taken as much 450 mg per day. I like this drug because it has few side effects.;7;;24;3
3393;Prescribed Coumadin after DVT and PE stay (with IV heparin first) for six months. Weekly blood tests until INR levels stabilized, then biweekly. One 5 mg pill taken daily with warnings to watch food, drug and supplement intake.;5;;38;3
2586;I TAKE ONE ACTOS 15 MG IN THE MORNING. HAVE BLOOD TESTS DONE EVERY 3 MONTHS TO CHECK MY KIDNEYS, GLUCOSE LEVEL, CHILESTEROL, ETC. ALSO HAVE MY EYES CHECK EVERY 12 MONTHS, AND MY FEET AS WELL.;7;;37;3
3948;40mg a day of Prilosec were prescribed to me after I complained to my doctor of chronic heartburn symptoms. I began taking it that day, and once every morning there after. Heartburn symptoms began to subside after 2-3 days of taking it. Mild side effects after about a week. The most noticeable and bothersome side effect (constipation) began after about 9 days of treatment. After putting up with it for a week I went to my doctor. He prescribed a mild laxative and suggested I stay on the Prilosec for at least 2 months to get the drugs full benefits. I did, but the constipation was still there (laxatives helped some). The doctor switched me to Nexium, which worked just as well and without the constipation.;4;;126;3
2854;treatment for bronchitis, doctor prescribed albuterol 2 puffs q 4-6 hours daily to clear airways for breathing better.;7;;18;3
1200;Began taking 20 mg daily then increased it to 40 after 3 months. Might help more if I were to go to some type of counseling, which I have not.;7;;30;3
3266;50 mg per day, in the mornings. Total duration of the treatment: 3 years. During the treatment course, attempts were made to titrate the dosage to 100 mg per day, but I couldn`t tolerate it.;4;;35;3
1160;I was prescribes 4 mg zofran to take 4 times per day for relief of nausea and vomiting which was most likely due to vertigo. I had a decrease in the nausea symptoms after the first dose, and had total relief after about 3 doses. i did experience a mile headache, which I believe is common for this drug;5;;59;3
1138;I began recieving Methadone when I was 21 years old. I started seeing a pschiatrist because I needed help for pain pill addiction. I began getting prescriptions for hydrocodone when I was 19. I have an abnormality in my lower back which causes me severe pain. I began taking more than I was supposed to for the pain and was taking anywhere from 20 to 30 pain pills a day. So I knew I needed help. That's when my doctor gave me Methadone. He gave me 60mg a day but I usually only took 40mg depending on what I needed. Over the years I have weaned myself down to 20mg a day and everyone even my doctor says to me that I should be able to come off of these pills easily but no one understands the physical and psychological symptoms I go through. It's so hard to just stop taking them when I have became so depended on them in my daily life. I have four kids and with out them I feel like a different person and it takes everything in me to get out of bed and take care of my kids. Is it in my head? I don't know but either way, in a lot of ways it helped me but in a lot of ways it ruined my life. I don't want to be addicted to a pill for the rest of my life. Now my doctor has stopped giving them to me because he feels that I can come off them easily at such a low dose but what does he know he does not understand what it feels like. I am at such a downfall in my life, I have to buy them now just to feel normal every day. I feel like if these doctors give them to me then they should help me with the withdrawals ao I can get off them. I still need help after all these yesrs. I don't have a car to drive to a methadone clinic everyday and no one to help me. So what are people like me to do?;6;;355;3
370;I started out with 25mg and moved quickly up to 200mg per day. I increased to 250mg but found no benefit so I dropped back down 200mg. If I didn't have the sweating side effect I would DEFINITELY continue to take this drug.;7;;43;3
2918;after breakfast i would take 2 tablets then another two after lunch and another two about an hour before bed. If i had a migraine then i would take 2 tablets 4 times a day;5;;35;3
1236;I take 3 capsules once daily in a single dose. Have done split dose method 2 times per day with no increase or decrease in product action. Vitamins Beta Carratine, Vitamin E, Vitamin D, Alpha Lipic Acid, Coq10, Glutathione and Chromium Piccalate are also used as supplements;7;;47;3
464;Doctor prescribed this for me as I had a tooth abscess of a few weeks duration. I had previously been prescribed Ampicillin 500mg 3 times a day for it, this resulted in a lessening of the abscess for a few days and then its return as bad as ever. Started taking the Flagyl and it made me feel lousy. Nauseous, vomiting, feeling as if I had the flu. Discovered that the side effects lessened if I ate something substantial (especially dairy products) before taking it. I was determined to persevere to get rid of the abscess. This did not begin to subside until the fourth day of treatment, but it did go completely by the seventh day and has not returned. This was one month ago. It is an effective drug, but very unpleasant to take.;5;;136;3
3295;My primary care physician prescribed counseling and the antidepressant, Zoloft. The plan was to take the medication for three to six months until I felt I was back on track and could maintain a functional lifestyle without it. I started with 25 mg every other day for five days, then 25 mg a day for one week, followed by 50 mg a day every day thereafter. I began therapy with a psychologist once a week where I was diagnosed with PTSD. Strangely enough, I found the counseling to do more harm than good in this case partially because it made me see my childhood for what it really was. I did not find that to be helpful at the time. Had I not been on anti-depressants before I went to counseling, I would have needed it afterward to deal with the emotional blows that I had to face and could no longer ignore that drove me into depression in the first place.;7;;162;3
923;20 mg a day from day 1 for 8 years. Quit 2 years ago. Started Paxil again Feb 2010 at 10 mg per day for 1 week, 20 mg per day for 4 months and back to 10 mg per day. Quitting with slow withdrawal presently. Now taking 10 mg every other day for past 6 wks. Starting to feel more alive and less sexual side effects.;7;;67;3
1127;I take one 60mg pill daily which can be taken anytime of the day, with or without food.;5;;18;3
1185;I took Prozac once a day in the morning with my other medications. At first my depression was under control but after about 5 years the depression began to become more intense. I was then placed on Wellbutrin with Prozac and my depression soon was improving. However, I started noticing hand shakes which progressively got worse. So after 2 years of Prozac and Wellbutrin I was told to stop Prozac. Within 6 months the shaking/tremors subsided and my depression is now fine by taking only Wellbutrin (150 mg/day);7;;88;3
3825;Take 500 mg of Valproic Acid before bed, daily, and 375 mg at breakfast, daily. This dose was titrated up slowly and eventually stopped at this level. Blood work is done to check the blood trough level. We are instructed to contact the physician should the seizure pattern change.;6;;49;3
2931;i took 300 mg. twice a day and also used an inhaler regularly. i assumed it was as good as it gets. my new asthma specialist determined i had suffered some loss of lung function as the asthma had not been controlled as well as it could have been. i had to have regular blood work to determine the levels were right.;5;;62;3
1756;I took 25 mg for two weeks at night, then 50 mg for the next two weeks, then 75 mg for the next two then I went down to 50 mg for three days then to 25 mg for three days and I have discontinued the medication.;4;;47;3
3720;I take 100 MG of Lamictal orally, twice a day. Generally, I take the first pill when I wake up in the morning, and I take the second pill with dinner.;7;;31;3
3347;the prescribed lipitor was taken for cholesterol for 12 months at 30mg per day once eye irritaition started stopped taking the liptor and the irritation stopped started taking lipitor again and eye irritation returned;5;;34;3
150;Took four 250 mg pills at once, so 1,000 mgs all together. Quite a hefty dose on my stomach but it worked.;7;;22;3
62;Doctor prescribed 1 Pill every 8 hours. I've taken only 1 so far, as I woke up this morning with extreme discomfort as described above.;7;;25;3
1374;I took 500mg every 12 hours for 14 days and i was given a script for Tylenol w/ codeine for the sinus headaches. I was also given a saline wash to wash out my nasal cavity;7;;36;3
1193;After being assessed by a psychiaterist using differnt scales for depression, the patient was diagnozed with moderate to severe deprssion. The patient was then commenced on Prozac 20mg daily which was then to go up to 20mg daily. some side effecteds were reported during the firt two weeks, but they gradually wore off to minimum. The patient was on the medication for 2 years. The results were an improved mood, changed( positive outlook to life) and improved motivation and apetite;7;;80;3
1208;I am a recovering alcohol and drug user, and have A.D.D. and severe Depression, as well as possible undiagnosed Oppositional Defiant Disorder. I was taking Imipramine 100 mg. before bed and 20 mg. XR in the morning and 10 mg. in the afternoon before a hospitalization. I was switched to Prozac from the Imipramine, and given Trazadone to help sleep. I am also on an upward increase in dose of Strattera, because my A.D.D. has gotten very bad on the Prozac and off the Imipramine, but have a better mood and increased social ability.;7;;94;3
2915;100mg twice daily seems to work well for myself however if you can get away with taking co codamol i would recomend this first. co codamol worked wonders for me for the first 3 months however i soon built up a very high tolerance and was taking 60mg of codiene 4 times a day to get any effect hence the change to tramadol.;6;;63;3
695;I was started off with a .5 mg dosage once a day then after two weeks twice a day then after that I was bumped up to 1.0 mg twice a day until 6 months of treatment was completed;4;;39;3
2287;10 mg of Lexapro (daily) was prescribed. It was taken every day for nearly two years, in conjunction with check-ups with the prescribing psychiatrist every six months. (The psychiatrist determined that the anxiety was due to a chemical imbalance and not situational. Therefore, regular visits and/or therapy were not necessary.) After two years on the medication, treatment ended due to inability to tolerate the side effects noted above. During the weening process, severe dizziness occurred. The only way to alleviate the dizziness was to take a Lexapro pill. As the weening continued, dizziness occurred less often and longer periods of time elapsed before it was necessary to take another pill. Eventually, the dizziness ceased completely.;7;;115;3
2515;I took approximately 50 mg. of Motrin 2 to 4 times daily during the heaviest days of my mentrsual flow.;6;;20;3
