id,text,polarity,predicted,correct,has_jargon,group
pA54,@augustss: with `ImpredicativeTypes` you can make monadic binds polymorphic as well (though it requires a heck lot of extremely ugly type annotations).,negative,negative,True,False,correct negative
sD77,"""Error starting recording"", every time. OH how I hate meaningless error messages!",negative,negative,True,True,correct negative
sD477,Im afraid is not!,negative,negative,True,False,correct negative
sD178,Yes. You make me sad :(,negative,negative,True,False,correct negative
tD181,"The .NET installation is one of the most painful setups of all history, in all means possible. I've did many such setups and about half of them even *crashed* for XP.",negative,negative,True,True,correct negative
sC231,I mean output string.....,neutral,neutral,True,False,correct neutral
sD593,"Whats the difference between these two, and which is the better approach.",neutral,neutral,True,False,correct neutral
sD515,you have to use symlinks instead of an alias... sad there is no ui for that! you have to go into the Terminal and type: the first PATH is the base path of the original file and the second is for the base path for the symlink of the file/folder etc,neutral,neutral,True,False,correct neutral
sB322,"@JoranBeasley Please read [The Absolute Minimum Every Software Developer Absolutely, Positively Must Know About Unicode and Character Sets (No Excuses!)](http://www.joelonsoftware.com/articles/Unicode.html). Unicode is not a character encoding and not concerned with bytes, though as a matter of fact you cannot fit all unicode code points into 16 bit because there are more than 2^16 of them.",neutral,neutral,True,False,correct neutral
tC322,@Lance: the first one is also executing. Compare it with a named constructor: this is actually also executing code. The same goes for the anonymous constructor... But that was not the question ;-),neutral,neutral,True,False,correct neutral
tD287,"I know you can have pre and post build events at a project level, but I want to stop and start a service at the beginning and end of a build of the solution -- i.e. when I do a 'Build Solution' the service is stopped and the last action of the build is to re-start the service. There are no build events on the solution property page, so what should I do? I'm guessing that I can add tasks to the msbuild file but I'm afraid I don't understand the relationship between VS and msbuild at all. Does VS execute msbuild with the SLN file?",neutral,negative,False,True,error
sD54,"I am looking for a simple mode to to obtain automatic fit-to-window effect using a wx.grid.Grid object inside on of my window. By now my 4 column grid has many white space on the right but I find this very ugly, better if all column expand or collapse based on window size change! Is there a way to get this to works?",neutral,negative,False,False,error
pA96,I think it speaks volumes about IE that the keyCodes for the arrow keys form an angry sad face: %&'( (works better in the comment text entry font),neutral,negative,False,False,error
sC79,"Oh, yea, didn't notice, answers below this one are at most half a year old.",neutral,negative,False,False,error
tC278,"I'm thinking of creating a small offline blog editor for personal use and I don't know how do the APIs work. Where can I find this information? I'm particularly looking for the most common providers: Blogger, Wordpress, MovableType, Live Spaces (not sure if this has an API) etc.",neutral,negative,False,False,error
tD287,"I know you can have pre and post build events at a project level, but I want to stop and start a service at the beginning and end of a build of the solution -- i.e. when I do a 'Build Solution' the service is stopped and the last action of the build is to re-start the service. There are no build events on the solution property page, so what should I do? I'm guessing that I can add tasks to the msbuild file but I'm afraid I don't understand the relationship between VS and msbuild at all. Does VS execute msbuild with the SLN file?",neutral,negative,False,True,jargon-heavy
tB449,A blog post warning you about the inefficiencies of Datastore Admin: http://marram.posterous.com/google-app-engines-datastore-admin-is-terribl,neutral,neutral,True,True,jargon-heavy
sC10,What does these warnings mean?,neutral,neutral,True,True,jargon-heavy
tB6,"Here, I see `BAADF00D` (bad food), `BEEFCACE` (beef cake), `BAADCAB1E` (bad cable), `BADCAFE` (bad cafe), and `DEADDEAD` (dead dead). Is this intentional?",neutral,negative,False,True,jargon-heavy
tD10,"The point of the require_once function is that no matter the scope, you won't include a file twice and redefine a class causing a PHP error. So no worries about memory leaks, if the require_once is hit, the class def goes in the global symbol table only one time. But aside from that, yeah use autoloader.",neutral,neutral,True,True,jargon-heavy
