token,occurrences,total_weight_toward_negative,mean_weight_toward_negative
pain,1,0.3959,0.39594
sad,2,0.5519,0.27596
painful,2,0.5498,0.27488
still,2,0.5436,0.27182
afraid,3,0.7659,0.25532
line,1,0.2152,0.21522
bad,1,0.2109,0.21089
oh,2,0.4139,0.20696
ugly,1,0.2054,0.20538
failed,1,0.1764,0.17645
me,4,0.6629,0.16572
error,1,0.1458,0.14577
again,2,0.2767,0.13835
ie,1,0.1283,0.12832
mean,1,0.1281,0.12812
font,1,0.1174,0.11738
next,1,0.1107,0.11074
extremely,3,0.3238,0.10794
one,1,0.1061,0.10606
i,37,3.8948,0.10526
m,10,1.035,0.1035
test,2,0.201,0.10052
fear,1,0.097,0.09701
lines,1,0.0967,0.09668
am,3,0.2898,0.09661
isn,1,0.0962,0.09615
!,5,0.4701,0.09401
completely,1,0.0939,0.0939
pankajsharma,1,0.0922,0.09222
build,2,0.1802,0.09012
was,4,0.3598,0.08995
wrong,1,0.0897,0.08971
even,1,0.0882,0.08824
dead,1,0.088,0.08799
resources,2,0.175,0.08752
very,5,0.4284,0.08568
won,1,0.0849,0.08492
setting,1,0.0836,0.08362
these,1,0.0816,0.08156
most,3,0.2446,0.08155
that,24,1.9405,0.08085
world,1,0.0796,0.07964
names,2,0.1517,0.07583
real,1,0.0754,0.07538
rounded,1,0.0739,0.07388
order,1,0.0732,0.07324
screen,2,0.1464,0.07319
given,1,0.0723,0.07233
problem,2,0.1441,0.07205
debug,1,0.071,0.07098
pangea,1,0.0708,0.07076
character,1,0.0682,0.06815
chrome,2,0.136,0.06798
it,16,1.0878,0.06798
because,7,0.4756,0.06794
here,2,0.1357,0.06785
all,7,0.471,0.06729
have,7,0.4666,0.06666
so,4,0.2664,0.06661
thinking,1,0.0663,0.06629
nothing,1,0.0662,0.06615
such,2,0.128,0.06398
sure,1,0.0637,0.0637
seconds,1,0.0634,0.06345
template,1,0.0634,0.06341
my,2,0.1265,0.06324
scared,1,0.0624,0.06236
been,3,0.1858,0.06194
not,6,0.3697,0.06161
but,8,0.4925,0.06156
at,1,0.0614,0.06141
t,8,0.4822,0.06028
anyone,1,0.0602,0.06022
bit,1,0.0596,0.05957
this,18,1.0662,0.05923
of,17,1.0033,0.05902
reference,2,0.1172,0.05861
