token,occurrences_lime,total_weight_toward_negative_lime,mean_weight_toward_negative_lime,occurrences_shap,total_weight_toward_negative_shap,mean_weight_toward_negative_shap
afraid,3,0.7659,0.25532,4,1.4734,0.36835
me,4,0.6629,0.16572,11,4.7563,0.43239
extremely,3,0.3238,0.10794,3,0.6771,0.22571
i,37,3.8948,0.10526,81,9.4094,0.11617
m,10,1.035,0.1035,17,1.9699,0.11587
am,3,0.2898,0.09661,4,0.728,0.18199
!,5,0.4701,0.09401,15,1.4092,0.09394
was,4,0.3598,0.08995,7,1.1981,0.17115
very,5,0.4284,0.08568,8,1.4743,0.18429
most,3,0.2446,0.08155,6,0.6793,0.11322
that,24,1.9405,0.08085,61,6.5621,0.10757
it,16,1.0878,0.06798,73,3.2594,0.04465
because,7,0.4756,0.06794,16,2.6448,0.1653
all,7,0.471,0.06729,21,3.0536,0.14541
have,7,0.4666,0.06666,39,2.4995,0.06409
so,4,0.2664,0.06661,15,1.5437,0.10292
been,3,0.1858,0.06194,4,0.6022,0.15055
not,6,0.3697,0.06161,62,8.6099,0.13887
but,8,0.4925,0.06156,34,3.3859,0.09959
this,18,1.0662,0.05923,58,3.3693,0.05809
of,17,1.0033,0.05902,71,6.7364,0.09488
is,25,1.3074,0.0523,86,8.2921,0.09642
seems,4,0.207,0.05176,6,0.4758,0.07929
when,4,0.2008,0.05019,17,2.2487,0.13228
why,4,0.1936,0.04841,12,2.6478,0.22065
and,14,0.5611,0.04008,62,1.4747,0.02379
really,5,0.1951,0.03902,14,1.7552,0.12537
result,3,0.1164,0.03881,5,0.8315,0.1663
a,17,0.655,0.03853,93,6.1453,0.06608
way,3,0.1138,0.03792,13,1.1942,0.09186
s,8,0.2894,0.03617,38,0.427,0.01124
we,3,0.0922,0.03073,6,0.3735,0.06224
are,5,0.1062,0.02125,38,2.7502,0.07237
no,4,0.06,0.015,20,0.9878,0.04939
server,3,0.0234,0.00781,7,0.615,0.08785
find,3,0.0182,0.00606,10,0.4372,0.04372
which,4,0.0241,0.00602,18,0.2109,0.01172
to,18,0.0648,0.0036,100,0.8285,0.00829
the,27,-0.0292,-0.00108,137,2.1938,0.01601
in,10,-0.1127,-0.01127,65,0.9186,0.01413
variables,3,-0.0437,-0.01455,4,-0.1482,-0.03705
get,5,-0.0806,-0.01612,16,0.4216,0.02635
would,6,-0.1037,-0.01728,23,-1.5161,-0.06592
1,3,-0.0567,-0.0189,7,-1.0401,-0.14858
make,3,-0.0581,-0.01936,13,-0.1887,-0.01451
see,3,-0.0679,-0.02262,9,0.0126,0.0014
answer,3,-0.0685,-0.02283,7,-1.0747,-0.15353
be,6,-0.1383,-0.02305,37,-1.8281,-0.04941
can,7,-0.1715,-0.02449,41,-0.6922,-0.01688
using,3,-0.0791,-0.02635,25,0.4226,0.0169
?,30,-0.8336,-0.02779,98,4.521,0.04613
do,7,-0.2134,-0.03048,43,-1.2531,-0.02914
should,9,-0.2756,-0.03062,22,-2.0169,-0.09168
how,12,-0.383,-0.03191,26,-1.6687,-0.06418
net,3,-0.1027,-0.03423,8,-0.5929,-0.07411
you,23,-0.8102,-0.03523,90,-6.1041,-0.06782
some,3,-0.1091,-0.03636,14,-1.279,-0.09136
use,3,-0.1122,-0.03741,30,-1.7634,-0.05878
what,7,-0.2753,-0.03933,34,-1.8274,-0.05375
talking,3,-0.1246,-0.04153,5,-0.2716,-0.05431
things,3,-0.1266,-0.04219,3,-0.3053,-0.10176
if,7,-0.3104,-0.04435,39,-2.6167,-0.06709
for,11,-0.4984,-0.04531,48,-4.3665,-0.09097
your,13,-0.5923,-0.04556,35,-4.4584,-0.12738
there,8,-0.4146,-0.05182,36,-0.4758,-0.01322
able,4,-0.2091,-0.05226,5,-0.375,-0.075
work,5,-0.2651,-0.05301,17,0.3936,0.02315
try,5,-0.2745,-0.0549,10,-1.9565,-0.19565
think,3,-0.1655,-0.05518,8,0.2059,0.02574
an,4,-0.239,-0.05974,40,-2.3127,-0.05782
question,6,-0.4175,-0.06959,14,-2.5828,-0.18449
into,3,-0.2093,-0.06977,9,-0.855,-0.095
any,3,-0.2105,-0.07016,17,-1.3908,-0.08181
instead,3,-0.2218,-0.07392,8,-0.4451,-0.05563
like,6,-0.5137,-0.08562,11,-2.2357,-0.20324
string,4,-0.3446,-0.08616,5,-0.2056,-0.04112
new,4,-0.3477,-0.08693,8,-1.2704,-0.1588
works,4,-0.3622,-0.09054,7,-1.6752,-0.23931
worry,5,-0.6526,-0.13051,9,-1.5085,-0.16761
http,5,-2.0752,-0.41504,3,-0.0189,-0.00631
