phrase,words,in_tfidf11,in_tfidf12,in_tfidf13,n_negative,n_neutral,n_positive
fatal error,2,False,False,False,0,0,0
null pointer,2,False,False,False,0,0,0
memory leak,2,False,False,False,0,0,0
stack trace,2,False,True,True,1,1,1
error message,2,False,True,True,2,0,0
kill the process,3,False,False,False,0,0,0
null pointer exception,3,False,False,False,0,0,0
out of memory,3,False,False,True,0,1,1
does not,2,False,True,True,46,52,26
not work,2,False,True,True,12,17,5
does not work,3,False,False,True,5,11,5
no idea,2,False,True,True,3,1,2
thank you,2,False,True,True,0,0,54
works fine,2,False,True,True,1,2,7
