config,min_df,max_features,vocabulary_size,features_per_document,train_macro_f1,val_macro_f1,overfit_gap
tfidf11,1,None,7445,2.5,0.9436,0.7863,0.1572
tfidf11,1,20000,7445,2.5,0.9436,0.7863,0.1572
tfidf11,1,50000,7445,2.5,0.9436,0.7863,0.1572
tfidf11,2,None,3449,1.1,0.9292,0.7864,0.1428
tfidf11,2,20000,3449,1.1,0.9292,0.7864,0.1428
tfidf11,2,50000,3449,1.1,0.9292,0.7864,0.1428
tfidf11,5,None,1678,0.6,0.9122,0.7827,0.1295
tfidf11,5,20000,1678,0.6,0.9122,0.7827,0.1295
tfidf11,5,50000,1678,0.6,0.9122,0.7827,0.1295
tfidf12,1,None,54626,18.0,0.9814,0.7894,0.192
tfidf12,1,20000,20000,6.6,0.9655,0.7931,0.1724
tfidf12,1,50000,50000,16.5,0.9774,0.7879,0.1895
tfidf12,2,None,12723,4.2,0.9589,0.7863,0.1727
tfidf12,2,20000,12723,4.2,0.9589,0.7863,0.1727
tfidf12,2,50000,12723,4.2,0.9589,0.7863,0.1727
tfidf12,5,None,4000,1.3,0.9334,0.7828,0.1506
tfidf12,5,20000,4000,1.3,0.9334,0.7828,0.1506
tfidf12,5,50000,4000,1.3,0.9334,0.7828,0.1506
tfidf13,1,None,130078,42.9,0.9918,0.796,0.1959
tfidf13,1,20000,20000,6.6,0.9677,0.7846,0.1831
tfidf13,1,50000,50000,16.5,0.9796,0.7937,0.186
tfidf13,2,None,17902,5.9,0.9659,0.7831,0.1829
tfidf13,2,20000,17902,5.9,0.9659,0.7831,0.1829
tfidf13,2,50000,17902,5.9,0.9659,0.7831,0.1829
tfidf13,5,None,4813,1.6,0.9367,0.7796,0.1572
tfidf13,5,20000,4813,1.6,0.9367,0.7796,0.1572
tfidf13,5,50000,4813,1.6,0.9367,0.7796,0.1572
